"Path","Lines","HeadingCount","H1","TopHeadings"
"docs\api-contract.md","184","14","# API Contract (apps/web)","# API Contract (apps/web) || ## 1. Auth || ## 2. Companies (Clients) || ## 3. Scripts || ## 4. Tasks (Assignments) || ## 5. Findings"
"docs\ARCHITECTURE_ISSUES_PERFORMANCE_HANDOFF_2026-03-26.md","900","65","# Architecture, Issues, and Performance Handoff","# Architecture, Issues, and Performance Handoff || ## Executive Summary || ## Document Intake Coverage || ## Rollback-Safe Rollout Notes || ## Architecture Map || ### Frontend"
"docs\ARTICLES_AND_ATOMS_WHAT_TO_FIND.md","470","38","# مواد GCAM والبنود (Atoms) — دليل ""ماذا نبحث عنه""","# مواد GCAM والبنود (Atoms) — دليل ""ماذا نبحث عنه"" || ## المادة 1 — التعريفات || ## المادة 2 — نطاق التطبيق || ## المادة 3 — المسؤولية || ## المادة 4 — ضوابط المحتوى الإعلامي — تفصيل القواعد الفرعية || ## المادة 5 — التصنيف العمري"
"docs\ARTICLES_ATOMS_TAXONOMY_AUDIT.md","227","7","# Articles + Atoms Taxonomy Audit","# Articles + Atoms Taxonomy Audit || ## 1. Current Articles || ## 2. Current Atoms || ## 3. UI Usage || ## 4. Prompt / Backend Usage || ## 5. Known Inconsistencies"
"docs\CANONICAL_HASH_CONTRACT.md","52","7","# Canonical Hash Contract","# Canonical Hash Contract || ## Canonical text || ## Stored on the job || ## Finding excerpts || ## Viewer behaviour || ## Rule: no canonical rewrite in /tasks"
"docs\Captain tars response.md","391","0","",""
"docs\CAPTAIN_TARS_PROMPT_V2_HANDOFF_2026-04-06.md","384","21","# Captain TARS Prompt V2 Handoff","# Captain TARS Prompt V2 Handoff || ## 1. Exact JSON Shape Expected From A Detection Pass || ## 2. Minimal Safe Contract For A Prompt Rewrite || ## 3. Exact Allowed `canonical_atom` Values || ### For the `insults` pass specifically || ## 4. Language Rules"
"docs\COMMIT_AND_PUSH_GUIDE.md","121","18","# What to commit and push — Phases 1–4 + error handling","# What to commit and push — Phases 1–4 + error handling || ## 1. Files to commit (all phases + error handling) || ### Phase 1 — Arabic font & DOCX || ### Phase 2 — Script pages (schema, extract, API, client) || ### Phase 3 — Page-based workspace UI || ### Phase 4 — Finding page number & report “Page X”"
"docs\CURRENT_AI_ANALYSIS_PROMPTS_2026-04-06.md","912","49","# Current AI Analysis Prompts","# Current AI Analysis Prompts || ## Executive Summary || ## Prompt Assembly Flow || ### 1. Per-pass system prompt || ### 2. Judge user prompt || ### 3. V2 context injection"
"docs\CURRENT_DOCX_ANALYSIS_AND_HIGHLIGHTING_STATE_2026-04-06.md","767","58","# Current DOCX Analysis And Highlighting State","# Current DOCX Analysis And Highlighting State || ## Purpose || ## Executive Summary || ## Shared Architecture || ## Source Of Truth Layers || ### 1. Raw findings"
"docs\DASHBOARD_METRICS_VERIFICATION.md","85","7","# Dashboard metrics verification","# Dashboard metrics verification || ## Root cause (fixed) || ## Files changed || ## SQL verification (Supabase SQL editor) || ## How the dashboard API matches || ## How to verify in production"
"docs\DATABASE_SCHEMA_VERIFICATION.md","122","11","# Database Schema Verification for Multi-Pass System","# Database Schema Verification for Multi-Pass System || ## ✅ Schema Compatibility Check || ### **Required Tables:** || #### 1. `slang_lexicon` ✅ || #### 2. `analysis_jobs` ✅ || #### 3. `analysis_findings` ✅"
"docs\DEBUG_ZERO_FINDINGS_AND_CONSOLE.md","145","12","# How to Debug Zero Findings & Console Errors","# How to Debug Zero Findings & Console Errors || ## 1. Browser console errors (403 on /users) || ### What you saw || ### Cause || ### Fix applied || ### Other console lines"
"docs\DEPLOYMENT_CHECKLIST.md","133","13","# Multi-Pass v2.0 Deployment Checklist","# Multi-Pass v2.0 Deployment Checklist || ## 📋 Pre-Deployment || ## 🚀 Deployment Steps || ### **1. Coolify Auto-Deploy** ⏳ || ### **2. Verify Deployment** ⏳ || ### **3. Test Analysis** ⏳"
"docs\DETECTION_ISSUES_DIAGNOSIS.md","245","20","# AI Detection Issues - Root Cause Analysis","# AI Detection Issues - Root Cause Analysis || ## 🔍 Problem Statement || ## 🚨 Root Causes Identified || ### **Issue #1: PROMPT COMPLEXITY OVERLOAD** ⚠️⚠️⚠️ || ### **Issue #2: EXCEPTION-FIRST STRUCTURE** ⚠️⚠️ || ### **Issue #3: VERBATIM FILTER TOO STRICT** ⚠️⚠️⚠️"
"docs\editor-highlights-and-manual-findings-audit.md","260","27","# Editor Highlights and Manual Findings Audit (RaawiFilm)","# Editor Highlights and Manual Findings Audit (RaawiFilm) || ## 1. Current editor implementation || ### What is used || ### File path || ### Implementation details || ## 2. Highlight spans logic (offset-based and HTML)"
"docs\ENV_PLACEMENT.md","103","6","# Environment variables — where they live (Phase 5, no surprises)","# Environment variables — where they live (Phase 5, no surprises) || ## 1) Supabase Edge Functions (invites, upload, companies, …) || ## 2) Worker (Node/tsx) || ## 3) Frontend (Vite) || ## Quick reference || ## Acceptance"
"docs\EXECUTION_PLAN_AI_AUDIT_SYSTEM_2026-03-27.md","407","25","# Execution Plan: AI Audit System Upgrade","# Execution Plan: AI Audit System Upgrade || ## Mission || ## Guiding Rules || ## Phase Structure || ### Phase 0: Baseline and Measurement || ### Phase 1: Trust and Stability"
"docs\FINDING_SOURCE_RULES.md","84","11","# Finding source rules (Manual vs AI)","# Finding source rules (Manual vs AI) || ## Goal || ## Schema || ## Writers and what they set || ## UI rules (no guessing) || ## Backfill (optional)"
"docs\FLEXIBILITY_ASSESSMENT_ANALYSIS_RECONSTRUCTION.md","139","13","# Flexibility Assessment: Can We Reconstruct Analysis on New Principles?","# Flexibility Assessment: Can We Reconstruct Analysis on New Principles? || ## Short Answer || ## 1. Shared Atoms / Multiple Articles — Where the Confusion Comes From || ### Current behaviour || ### What we have in code (flexibility) || ## 2. Second Analysis: “Words to Pick According to Articles” (Including Non-Violations)"
"docs\FORMATTED_ONLY_HIGHLIGHTS.md","50","8","# Formatted-only viewer with accurate highlights (Option B)","# Formatted-only viewer with accurate highlights (Option B) || ## Overview || ## Canonical text derivation (Strategy A) || ## Mapping approach || ## Normalization || ## Offset validation guard"
"docs\frontend-models.md","361","15","# Frontend Models (TypeScript interfaces & enums)","# Frontend Models (TypeScript interfaces & enums) || ## 1. Company / Client || ## 2. User (app profile) || ## 3. Script || ## 4. ScriptVersion || ## 5. Task (assignments)"
"docs\GCAM Canonical Atom Framework (v1).md","527","0","",""
"docs\GCAM Severity Rulebook (v1).md","275","0","",""
"docs\GCAM_COVERAGE_ANALYSIS.md","130","13","# GCAM Article Coverage Analysis","# GCAM Article Coverage Analysis || ## ✅ **COMPLETE GCAM COVERAGE ACHIEVED** || ## 📊 Multi-Pass System Coverage (10 Passes) || ### **All Scannable Articles Covered:** || ### **Unique Articles Covered:** || ## 📋 Articles NOT Scanned (By Design)"
"docs\glossary_add_term_popup_ar.md","643","101","# دليل نافذة ""إضافة مصطلح"" في قسم القاموس","# دليل نافذة ""إضافة مصطلح"" في قسم القاموس || ## الهدف من النافذة || ## متى تستخدم ""إضافة مصطلح""؟ || ## مكونات النافذة || ## 1. حقل ""المصطلح"" || ### ماذا أكتب فيه؟"
"docs\GLOSSARY_AUDIT.md","64","11","# Glossary Section – Audit","# Glossary Section – Audit || ## Summary || ## Issues Found and Fixed || ### 1. HistoryModal: `settings` undefined (bug) || ### 2. HistoryModal: History never loaded || ### 3. TermModal: Duplicate check on edit"
"docs\GLOSSARY_CSV_FORMAT.md","22","1","#","# Glossary CSV import / export"
"docs\GLOSSARY_DEBUG_PATCH_PLAN.md","236","17","# Glossary / Slang Lexicon — Debug & Patch Plan","# Glossary / Slang Lexicon — Debug & Patch Plan || ## 1. Why “Glossary additions are not considered by AI” || ### 1.1 Broken path (persistence) || ### 1.2 Broken path (highlights) || ### 1.3 What already works || ## 2. Patch plan (file-by-file)"
"docs\GLOSSARY_END_TO_END_VERIFICATION.md","140","11","# Glossary / Lexicon — End-to-End Verification","# Glossary / Lexicon — End-to-End Verification || ## 1. Verified flow: UI → API → DB → Worker → Findings → Highlighting || ## 2. Code paths (files + key functions) || ## 3. Screenshot / console evidence expectations || ### 3.1 Terms persist after refresh || ### 3.2 Report includes lexicon finding"
"docs\GLOSSARY_LEXICON_FLOW.md","259","31","# Glossary (Slang Lexicon) Flow — End-to-End","# Glossary (Slang Lexicon) Flow — End-to-End || ## 1) Where the page reads/writes data || ### UI → API calls || ### File locations || ## 2) Data model || ### Table: `slang_lexicon`"
"docs\GLOSSARY_REPORT.md","255","13","# Glossary (Slang Lexicon) — Complete Report","# Glossary (Slang Lexicon) — Complete Report || ## 1. What the Glossary Is || ## 2. Current Situation — Executive Summary || ## 3. What We Have — In Depth || ### 3.1 Database || ### 3.2 Glossary UI (Frontend)"
"docs\golden-saudi-scripts\README.md","20","4","# Saudi Golden Script Set (Phase 1)","# Saudi Golden Script Set (Phase 1) || ## Contents || ## How to run || ## Notes"
"docs\HARD_ATOM_PLAYBOOK_PRIORITY_2026-03-27.md","192","10","# Hard Atom Playbook: Priority Set","# Hard Atom Playbook: Priority Set || ## Why These Atoms First || ## Atom 5-2 || ## Atom 7-2 || ## Atom 7-3 || ## Atom 7-4"
"docs\HASH_MISMATCH_INVESTIGATION.md","107","9","# Hash Mismatch Investigation: AI Highlights Never Work","# Hash Mismatch Investigation: AI Highlights Never Work || ## Step 1 — Reproduction (expected outcome) || ## Step 2 — How hashes are computed and stored || ### A) `editorData.contentHash` (viewer side) || ### B) `analysis_jobs.script_content_hash` (job side) || ## Step 3 — Comparison and root cause"
"docs\HIGHLIGHT_ALIGNMENT_DEBUG.md","50","7","# Highlight alignment debug report","# Highlight alignment debug report || ## 1. One normalize implementation || ## 2. Build index only on unwrapped DOM || ## 3. Stronger offset validation (skip + log) || ## 4. Overlapping findings || ## Summary: minimal fixes applied"
"docs\HIGHLIGHTS_DOM_PERSISTENCE.md","90","9","# Highlights DOM Persistence","# Highlights DOM Persistence || ## Problem || ## 1) Root cause: React re-writing innerHTML || ### Container identity (diagnostics added) || ## 2) Render paths that overwrite the viewer HTML || ## 3) Fix: stop React from owning the div content (approach A)"
"docs\IMPLEMENTATION_NOTES_import_and_add_to_findings.md","138","24","# Implementation notes: Import (DOCX/PDF) and “Add to findings” UX","# Implementation notes: Import (DOCX/PDF) and “Add to findings” UX || ## Overview || ## A) DOCX/PDF import || ### Goal || ### Client-side parsing || ### Scanned PDF / empty text"
"docs\IMPLEMENTATION_TRACKER_SCRIPT_PAGES.md","183","23","# Implementation Tracker: Script Pages, Formatting & PDF-like Workspace","# Implementation Tracker: Script Pages, Formatting & PDF-like Workspace || ## Phase 1 — Quick wins (no schema change) || ### 1.1 Arabic display in workspace || ### 1.2 Formatting (DOCX) || ## Phase 2 — Page storage and extraction || ### 2.1 Schema"
"docs\INVITE_SECURITY.md","61","7","# Invite flow — Security and “no surprises” notes (Phase 7)","# Invite flow — Security and “no surprises” notes (Phase 7) || ## 1. Never store invite token in DB — only hash || ## 2. Crypto-safe token generator || ## 3. Invite creation: requireAuth() + permission check || ## 4. Consume endpoint: no auth, but rate-limited and strongly validated || ## 5. Audit logging"
"docs\INVITE_TESTING_CHECKLIST.md","117","10","# Invite flow — Testing checklist (Phase 6)","# Invite flow — Testing checklist (Phase 6) || ## Prerequisites || ## 1. Admin creates user in UI → Resend accepted || ## 2. User receives email → opens link → sets password || ## 3. User can login || ## 4. Invite token cannot be reused"
"docs\LEXICON_AI_ENHANCEMENT.md","235","25","# Lexicon-Enhanced AI Analysis","# Lexicon-Enhanced AI Analysis || ## Problem || ## Solution || ## Changes Made || ### 1. **Updated AI Prompts** (`supabase/functions/_shared/aiConstants.ts` & `apps/worker/src/aiConstants.ts`) || #### Router Prompt (v1.0 → v1.1)"
"docs\LEXICON_ANALYSIS_DEBUG_REPORT.md","138","13","# Lexicon / Glossary Terms Not Appearing in AI Analysis — Debug Report","# Lexicon / Glossary Terms Not Appearing in AI Analysis — Debug Report || ## 1) Findings (bullet list) || ## 2) Evidence (file paths + line numbers) || ## 3) Root cause (most likely + why) || ## 4) Fix plan (exact code changes, env vars, SQL, redeploy) || ### 4.1 Align worker with production DB (primary)"
"docs\MULTI_PASS_DETECTION_DESIGN.md","366","31","# Multi-Pass Detection System Design","# Multi-Pass Detection System Design || ## 🎯 Concept: Specialized Scanners || ## 🏗️ Architecture || ### Current (Single-Pass): || ### Proposed (Multi-Pass): || ## 📋 Pass Definitions"
"docs\MULTI_PASS_IMPLEMENTATION.md","360","47","# Multi-Pass Detection System - Implementation Complete ✅","# Multi-Pass Detection System - Implementation Complete ✅ || ## 🎯 Overview || ### **Pass 0: Glossary Scanner** 🔍 || ### **Pass 1: Insults Scanner** 💬 || ### **Pass 2: Violence Scanner** ⚔️ || ### **Pass 3: Sexual Content Scanner** 🚫"
"docs\MULTI_PASS_SUMMARY.md","162","27","# Multi-Pass Detection System - Executive Summary","# Multi-Pass Detection System - Executive Summary || ## 🎯 What Changed || ## 🔥 The 10 Scanners (100% GCAM Coverage) || ### **Scanner 0: Glossary** 📚 || ### **Scanner 1: Insults** 💬 || ### **Scanner 2: Violence** ⚔️"
"docs\NORMALIZE_SPEC.md","27","5","# Normalization spec (canonical text for offsets)","# Normalization spec (canonical text for offsets) || ## Transform (identical backend + frontend) || ## Where it is used || ## htmlToText (tag-strip only) || ## Assertion (dev)"
"docs\OFFSET_CANONICAL_TEXT.md","51","6","# Offset canonical text: single source for AI highlights","# Offset canonical text: single source for AI highlights || ## Problem || ## Canonical source || ## Normalization (single function) || ## Content hash check strategy || ## Summary"
"docs\OFFSETS_AND_PAGES.md","38","6","# Script offsets and page numbers","# Script offsets and page numbers || ## Canonical content || ## Separator between pages || ## Mapping offset → page || ## No per-page rows || ## Optional: `ANALYSIS_CHUNK_BY_PAGE`"
"docs\OFFSETS_GLOBAL_VS_CHUNK.md","71","11","# Offsets: global vs chunk-local coordinate system","# Offsets: global vs chunk-local coordinate system || ## Summary || ## Where offsets are defined and used || ### 1. Canonical text (base for all global offsets) || ### 2. Chunks (analysis_chunks) || ### 3. Worker pipeline (Judge → findings)"
"docs\PDF_DISPLAY_FONT.md","26","5","# PDF → workspace font (display hint)","# PDF → workspace font (display hint) || ## What we can and cannot do || ## What we implemented || ## Operations || ## Extending the mapper"
"docs\PDF_EXPORT_REPORT.md","237","27","# PDF Export Functionality — Complete Report","# PDF Export Functionality — Complete Report || ## 1. Overview || ## 2. Architecture || ### 2.1 Main components || ### 2.2 Data flow || ### 2.3 Font strategy"
"docs\PERMISSIONS_AUDIT_AND_DISCOVERY.md","152","16","# Permissions, User Types, and Visibility — Audit & Discovery Report","# Permissions, User Types, and Visibility — Audit & Discovery Report || ## 1. User types (roles) || ## 2. Where “admin” is checked (two places) || ## 3. What each role can see (intended vs current) || ### 3.1 Scripts || ### 3.2 Reports (analysis_reports)"
"docs\PERMISSIONS_MAP.md","94","10","# Permissions Map (RBAC Baseline)","# Permissions Map (RBAC Baseline) || ## Source of truth references || ### DB tables || ### RPCs || ### Edge functions || ### Frontend"
"docs\PHASE0_POLICY_WORKSHOP_SPEC.md","58","8","# Phase 0 Policy Workshop Spec","# Phase 0 Policy Workshop Spec || ## Objective || ## Pillar Model (Top-Level) || ## Mandatory Decisions Per Finding || ## Severity Rubric Baseline || ## Primary vs Related Article Rule"
"docs\phase1a-test-steps.md","225","15","# Phase 1A – Manual test steps and expected DB state","# Phase 1A – Manual test steps and expected DB state || ## Prerequisites || ## 1. Create script (POST /scripts) || # Replace CLIENT_UUID with a real clients.id (uuid) || ## 2. Create version (POST /scripts/versions) || # Use SCRIPT_ID from step 1"
"docs\PIPELINE_V2_ROLLOUT_PLAN_2026-04-06.md","167","24","# Pipeline V2 Rollout Plan","# Pipeline V2 Rollout Plan || ## Goal || ## Rollout Model || ### V1 || ### V2 || ## Control Points"
"docs\PLAN_FIX_ARTICLE_FINDING_AND_DUPLICATION.md","198","17","# Plan: Fix Article–Finding Relation and Duplication (Pre-Coding)","# Plan: Fix Article–Finding Relation and Duplication (Pre-Coding) || ## 1. Desired End State || ## 2. Current State (Root Causes) || ### 2.1 Why the same incident appears many times || ### 2.2 Why primary article is often 4 or 5 || ### 2.3 Why summary and findings disagree"
"docs\PLAN_SCRIPT_PAGES_AND_FORMATTING.md","262","19","# Plan: Script Pages, Formatting, and PDF-like Workspace","# Plan: Script Pages, Formatting, and PDF-like Workspace || ## Are these doable? || ## 1. Arabic letters not connected (image 1 vs 2) || ## 2. Formatting (match original document) || ## 3. Pages (one page in doc = one page in workspace) || ## 4. Workspace: page view + toolbar (like image 3)"
"docs\PLAN_WORKSPACE_A4_AND_FORMAT_FIDELITY.md","137","10","# Plan: A4 workspace page + higher format fidelity (import)","# Plan: A4 workspace page + higher format fidelity (import) || ## Phase 1 — A4 page frame in the workspace (layout only) || ## Phase 2 — Typography tokens inside the A4 frame (readability, not Word clone) || ## Phase 3 — DOCX: richer structure preservation (Mammoth + post-process) || ## Phase 4 — PDF: structure + light styling from `getTextContent()` || ## Phase 5 — Optional: true layout fidelity paths (later / niche)"
"docs\policy_diff.md","282","9","# PolicyMap vs DOCX (bible) taxonomy diff","# PolicyMap vs DOCX (bible) taxonomy diff || ## 1. Missing in PolicyMap (in DOCX only) || ## 2. Extra in PolicyMap (not in DOCX) || ## 3. Article title mismatches || ## 4. Missing atoms in PolicyMap (in DOCX only) || ## 5. Extra atoms in PolicyMap (not in DOCX)"
"docs\policy_patch_report.md","8","3","# PolicyMap patch from bible_taxonomy.json","# PolicyMap patch from bible_taxonomy.json || ## Diff summary || ## Atoms in one file but not the other"
"docs\PRODUCT_BACKLOG.md","118","10","# Product backlog — Raawi","# Product backlog — Raawi || ## TODO (Later) #1 — Audit Log (Show All + full table) || ### Requirements || ### Acceptance criteria || ## TODO (Later) #2 — PDF Report Export Suite (Arabic + English) || ### Requirements"
"docs\prompts\01_violence_fix.md","146","0","",""
"docs\prompts\02_sexual_content_fix.md","167","0","",""
"docs\prompts\03_drugs_alcohol_fix.md","136","0","",""
"docs\prompts\04_discrimination_incitement_fix.md","229","0","",""
"docs\prompts\05_national_security_fix.md","119","0","",""
"docs\prompts\06_extremism_banned_groups_fix.md","179","0","",""
"docs\prompts\07_misinformation_fix.md","135","0","",""
"docs\prompts\08_international_relations_fix.md","172","0","",""
"docs\prompts\09_women_fix.md","197","0","",""
"docs\prompts\10_article4_fallback_fix.md","234","0","",""
"docs\prompts\README.md","22","1","#","# Current Remaining Judge Prompts"
"docs\prompts\The auditor layer.md","343","0","",""
"docs\QA_CHECKLIST_IMPORT_ANALYSIS_EXPORT.md","84","7","# QA checklist — PDF import · Analysis · Report export","# QA checklist — PDF import · Analysis · Report export || ## Lane A — Importing PDF (upload → extract → editor) || ## Lane B — Analysis time & job behavior || ## Lane C — Analysis report export (PDF / print) || ## Cross-lane sanity (one pass) || ## Troubleshooting: `unsupported Unicode escape sequence` on `/extract` (500)"
"docs\QA_REMEDIATION_REPORT.md","30","3","# QA remediation report — handoff","# QA remediation report — handoff || ## Deploy notes || ## Suggested QA re-test"
"docs\QA_ROLE_PERMISSIONS_FIX_REPORT.md","193","16","# QA Role & Permissions Fix Report","# QA Role & Permissions Fix Report || ## Per-issue: root cause, fix, files touched, verify in prod || ### A. Regulator gets error toast when opening Access Control || ### B. Regulator label shows “Admin” even when role is Regulator || ### C. Task fails to open after clicking it (for all users) || ### D. Approve/Reject option disappears quickly for Regulator/Admin"
"docs\QA_SMOKE_CHECKS.md","68","8","# QA Smoke Checks — RBAC & Status Refresh","# QA Smoke Checks — RBAC & Status Refresh || ## 1. Regulator cannot access Access Control || ## 2. Regulator sees correct role label || ## 3. Assignee can open task & script || ## 4. Approve/reject buttons stable || ## 5. Status refresh after decision"
"docs\QA_TEST_PLAN.md","292","59","# RawwiFilm — End-to-End QA Test Plan","# RawwiFilm — End-to-End QA Test Plan || ## Master checklist (Excel-friendly) || ## 1. Authentication || ### A1 — Login with seeded user || ### A2 — Login with wrong password || ### A3 — Logout"
"docs\QUICK_ANALYSIS_ROLLOUT_ROLLBACK.md","32","5","# Quick Analysis Rollout and Rollback","# Quick Analysis Rollout and Rollback || ## Feature Flag || ## Safe Rollout Order || ## Fast Rollback Sequence || ## Notes"
"docs\RECOVERY_PHASE1_SOURCE_OF_TRUTH_MATRIX_2026-04-06.md","312","24","# Recovery Phase 1: Source-of-Truth Matrix","# Recovery Phase 1: Source-of-Truth Matrix || ## 1. Core Data Objects in the Current System || ### `scripts` || ### `script_text` || ### `script_pages` || ### `analysis_jobs`"
"docs\RECOVERY_PHASE2_REVIEW_FINDINGS_SCHEMA_AND_API_DRAFT_2026-04-06.md","360","41","# Recovery Phase 2: `analysis_review_findings` Schema and API Draft","# Recovery Phase 2: `analysis_review_findings` Schema and API Draft || ## 1. Design Goal || ## 2. Proposed Table: `analysis_review_findings` || ## Identity and ownership || ## Canonical linkage || ## Policy/reviewer-visible classification"
"docs\RECOVERY_PLAN_UNIFIED_REVIEW_WORKFLOW_2026-04-06.md","609","38","# Unified Review Workflow Recovery Plan","# Unified Review Workflow Recovery Plan || ## 1. Executive Summary || ## 2. Recovery Strategy Decision || ## 3. Current Architecture Audit || ### 3.1 Entry Points || ### 3.2 Import and Extraction"
"docs\REPORT_PRINT_EXPORT_MAP.md","147","13","# Report Print / Export — Implementation Map & Fix Targets","# Report Print / Export — Implementation Map & Fix Targets || ## A) Current Implementation Map || ### 1. Button location and handlers || ### 2. Route(s) involved || ### 3. API calls (Analysis report only) || ### 4. HTML generation method (Analysis report)"
"docs\ROLLBACK_URL_CORS_FIXES.md","71","9","# Rollback: URL & CORS fixes (Feb 2026)","# Rollback: URL & CORS fixes (Feb 2026) || ## Option A: Revert entire change set (Git) || # See the commit that applied these fixes || # Revert that commit (creates a new commit that undoes it) || ## Option B: Manual rollback by area || ### 1. Web app: single API_BASE_URL"
"docs\route-audit-BUG-06.md","69","6","# Route Audit (BUG-06 – Incorrect 404 Routing)","# Route Audit (BUG-06 – Incorrect 404 Routing) || ## Summary || ## Frontend routes (App.tsx) || ## Backend (Supabase Edge Functions) || ## Static assets || ## Auth"
"docs\SANITY_CHECK_ANALYSIS_OPTIONS.md","86","9","# Sanity Check: Analysis Options (بطاقة لكل موقع vs بطاقة لكل ظهور)","# Sanity Check: Analysis Options (بطاقة لكل موقع vs بطاقة لكل ظهور) || ## 1. Flow Overview || ## 2. Option Behaviour (Backend) || ### 2.1 Stored value || ### 2.2 Aggregation (`apps/worker/src/aggregation.ts`) || ## 3. UI and Export"
"docs\SCRIPT_DECISION_POLICY.md","139","14","# Script Accept / Reject (Decision) Policy","# Script Accept / Reject (Decision) Policy || ## TASK A — Implementation locations || ### Edge Function: decision endpoint || ### Permission SQL (who can approve/reject) || ### Database-level (scripts table) || ### Frontend"
